// Co-polarized Raman gain spectrum for IDF fiber		
# df	RamanGain	
# [THz]	[1/m/W]	
# PumpFrequency	[THz]	206.753419
28.85	5.2907900E-05 
28.9	5.3124100E-05 
28.95	5.3349700E-05 
29	5.3580000E-05 
29.05	5.3824400E-05 
29.1	5.4111100E-05 
29.15	5.4449500E-05 
29.2	5.4839600E-05 
29.25	5.5187400E-05 
29.3	5.5511700E-05 
29.35	5.5892400E-05 
29.4	5.6348300E-05 
29.45	5.6907600E-05 
29.5	5.7575000E-05 
29.55	5.8345800E-05 
29.6	5.9229400E-05 
29.65	6.0216400E-05 
29.7	6.1311500E-05 
29.75	6.2486500E-05 
29.8	6.3638000E-05 
29.85	6.4766000E-05 
29.9	6.5856400E-05 
29.95	6.6965600E-05 
30	6.8244000E-05 
30.05	6.9691600E-05 
30.1	7.1331900E-05 
30.15	7.3113200E-05 
30.2	7.4955600E-05 
30.25	7.6835600E-05 
30.3	7.8772000E-05 
30.35	8.0755400E-05 
30.4	8.2762300E-05 
30.45	8.4783300E-05 
30.5	8.6823100E-05 
30.55	8.8867600E-05 
30.6	9.0902700E-05 
30.65	9.2923700E-05 
30.7	9.4907100E-05 
30.75	9.6848200E-05 
30.8	9.8775200E-05 
30.85	1.0076800E-04 
30.9	1.0280310E-04 
30.95	1.0479590E-04 
31	1.0671350E-04 
31.05	1.0853710E-04 
31.1	1.1024790E-04 
31.15	1.1182710E-04 
31.2	1.1325590E-04 
31.25	1.1452960E-04 
31.3	1.1563410E-04 
31.35	1.1654590E-04 
31.4	1.1726500E-04 
31.45	1.1781490E-04 
31.5	1.1821440E-04 
31.55	1.1846350E-04 
31.6	1.1855750E-04 
31.65	1.1845880E-04 
31.7	1.1812510E-04 
31.75	1.1754700E-04 
31.8	1.1679500E-04 
31.85	1.1588320E-04 
31.9	1.1483040E-04 
31.95	1.1365070E-04 
32	1.1232530E-04 
32.05	1.1085890E-04 
32.1	1.0926560E-04 
32.15	1.0755010E-04 
32.2	1.0570770E-04 
32.25	1.0370080E-04 
32.3	1.0156230E-04 
32.35	9.9367400E-05 
32.4	9.7139600E-05 
32.45	9.4921200E-05 
32.5	9.2726300E-05 
32.55	9.0545500E-05 
32.6	8.8435200E-05 
32.65	8.6381300E-05 
32.7	8.4383800E-05 
32.75	8.2442700E-05 
32.8	8.0572100E-05 
32.85	7.8767300E-05 
32.9	7.7000100E-05 
32.95	7.5261100E-05 
33	7.3569100E-05 
33.05	7.1961700E-05 
33.1	7.0500000E-05
33.15	6.9254500E-05 
33.2	6.8206400E-05 
33.25	6.7285200E-05 
33.3	6.6476800E-05 
33.35	6.5785900E-05 
33.4	6.5146700E-05 
33.45	6.4629700E-05 
33.5	6.4244300E-05 
33.55	6.3976400E-05 
33.6	6.3793100E-05 
33.65	6.3680300E-05 
33.7	6.3666200E-05 
33.75	6.3769600E-05 
33.8	6.3952900E-05 
33.85	6.4220800E-05 
33.9	6.4545100E-05 
33.95	6.4921100E-05 
34	6.5348800E-05 
34.05	6.5823500E-05 
34.1	6.6345200E-05 
34.15	6.6913900E-05 
34.2	6.7506100E-05 
34.25	6.8121800E-05 
34.3	6.8746900E-05 
34.35	6.9372000E-05 
34.4	7.0001800E-05 
34.45	7.0626900E-05 
34.5	7.1237900E-05 
34.55	7.1825400E-05 
34.6	7.2365900E-05 
34.65	7.2882900E-05 
34.7	7.3357600E-05 
34.75	7.3790000E-05 
34.8	7.4198900E-05 
34.85	7.4579600E-05 
34.9	7.4941500E-05 
34.95	7.5261100E-05 
35	7.5500800E-05 
35.05	7.5670000E-05 
35.1	7.5764000E-05 
35.15	7.5764000E-05 
35.2	7.5702900E-05 
35.25	7.5585400E-05 
35.3	7.5411500E-05 
35.35	7.5176500E-05 
35.4	7.4871000E-05 
35.45	7.4537300E-05 
35.5	7.4227100E-05 
35.55	7.4020300E-05 
35.6	7.3907500E-05 
35.65	7.3799400E-05 
35.7	7.3587900E-05 
35.75	7.3254200E-05 
35.8	7.2873500E-05 
35.85	7.2455200E-05 
35.9	7.1928800E-05 
35.95	7.1317800E-05 
36	7.0570500E-05 
36.05	6.9672800E-05 
36.1	6.8742200E-05 
36.15	6.7797500E-05 
36.2	6.6824600E-05 
36.25	6.5785900E-05 
36.3	6.4672000E-05 
36.35	6.3529900E-05 
36.4	6.2369000E-05 
36.45	6.1170500E-05 
36.5	5.9939100E-05 
36.55	5.8674800E-05 
36.6	5.7448100E-05 
36.65	5.6244900E-05 
36.7	5.5055800E-05 
36.75	5.3871400E-05 
36.8	5.2578900E-05 
36.85	5.1168900E-05 
36.9	4.9669600E-05 
36.95	4.8104500E-05 
37	4.6675700E-05 
37.05	4.5467800E-05 
37.1	4.4447900E-05 
37.15	4.3352800E-05 
37.2	4.2102600E-05 
37.25	4.0706700E-05 
37.3	3.9193300E-05 
37.35	3.7637600E-05 
37.4	3.6086600E-05 
37.45	3.4540300E-05 
37.5	3.2984600E-05 
37.55	3.1485300E-05 
37.6	3.0061200E-05 
37.65	2.8735800E-05 
37.7	2.7504400E-05 
37.75	2.6343500E-05 
37.8	2.5262500E-05 
37.85	2.4308400E-05 
37.9	2.3485900E-05 
37.95	2.2790300E-05 
38	2.2216900E-05 
38.05	2.1742200E-05 
38.1	2.1276900E-05 
38.15	2.0788100E-05 
38.2	2.0280500E-05 
38.25	1.9782300E-05 
38.3	1.9284100E-05 
38.35	1.8767100E-05 
38.4	1.8231300E-05 
38.45	1.7770700E-05 
38.5	1.7394700E-05 
38.55	1.7098600E-05 
38.6	1.6901200E-05 
38.65	1.6689700E-05 
38.7	1.6445300E-05 
38.75	1.6158600E-05 
38.8	1.5871900E-05 
38.85	1.5580500E-05 
38.9	1.5275000E-05 
38.95	1.4964800E-05 
39	1.4668700E-05 
39.05	1.4396100E-05 
39.1	1.4151700E-05 
39.15	1.3865000E-05 
39.2	1.3521900E-05 
39.25	1.3103600E-05 
39.3	1.2605400E-05 
39.35	1.2149500E-05 
39.4	1.1778200E-05 
39.45	1.1510300E-05 
39.5	1.1369300E-05 
39.55	1.1157800E-05 
39.6	1.0725400E-05 
39.65	1.0039200E-05 
39.7	9.3295000E-06 
39.75	8.6574000E-06 
39.8	8.0370000E-06 
39.85	7.4777000E-06 
39.9	6.9372000E-06 
39.95	6.3873000E-06 
40	5.8186000E-06 
40.05	5.2687000E-06 
40.1	4.7376000E-06 
40.15	4.2372600E-06 
40.2	3.7744400E-06 
40.25	3.3637200E-06 
40.3	3.0154800E-06 
40.35	2.7367000E-06 
40.4	2.4820000E-06 
40.45	2.2500400E-06 
40.5	2.0391800E-06 
40.55	1.8476400E-06 
40.6	1.6734000E-06 
40.65	1.5142200E-06 
40.7	1.3676200E-06 
40.75	1.2309600E-06 
40.8	1.1013200E-06 
40.85	9.7562000E-07 
40.9	8.5052000E-07 
40.95	7.2770000E-07 
41	6.0818000E-07 
41.05	4.8966000E-07 
41.1	3.7826000E-07 
41.15	2.7808000E-07 
41.2	1.8896600E-07 
41.25	1.1072400E-07 
41.3	4.3092000E-08 
41.35	0.0
50	0.0
