// Co-polarized Raman gain spectrum for SMF fibers
# df	RamanGain
# [ Hz ] [ 1/m/W ]
# PumpWavelength [ nm ] 1500
1.8600E+13	2.06425E-04
1.8650E+13	1.97306E-04
1.8700E+13	1.83461E-04
1.8750E+13	1.71285E-04
1.8800E+13	1.63445E-04
1.8850E+13	1.55635E-04
1.8900E+13	1.47888E-04
1.8950E+13	1.40142E-04
1.9000E+13	1.33551E-04
1.9050E+13	1.27547E-04
1.9100E+13	1.23527E-04
1.9150E+13	1.19507E-04
1.9200E+13	1.15488E-04
1.9250E+13	1.11468E-04
1.9300E+13	1.07449E-04
1.9350E+13	1.03910E-04
1.9400E+13	1.00371E-04
1.9450E+13	9.68318E-05
1.9500E+13	9.32920E-05
1.9550E+13	8.97517E-05
1.9600E+13	8.62113E-05
1.9650E+13	8.26709E-05
1.9700E+13	7.95778E-05
1.9750E+13	7.83192E-05
1.9800E+13	7.70607E-05
1.9850E+13	7.58021E-05
1.9900E+13	7.45435E-05
1.9950E+13	7.32849E-05
2.0000E+13	7.20263E-05
2.0050E+13	7.07677E-05
2.0100E+13	6.97240E-05
2.0150E+13	6.90162E-05
2.0200E+13	6.83084E-05
2.0250E+13	6.76006E-05
2.0300E+13	6.68928E-05
2.0350E+13	6.61850E-05
2.0400E+13	6.54773E-05
2.0450E+13	6.47695E-05
2.0500E+13	6.41794E-05
2.0550E+13	6.36737E-05
2.0600E+13	6.31681E-05
2.0650E+13	6.26625E-05
2.0700E+13	6.21569E-05
2.0750E+13	6.16513E-05
2.0800E+13	6.12907E-05
2.0850E+13	6.10694E-05
2.0900E+13	6.08481E-05
2.0950E+13	6.06269E-05
2.1000E+13	6.04056E-05
2.1050E+13	6.01843E-05
2.1100E+13	5.99631E-05
2.1150E+13	5.98194E-05
2.1200E+13	5.97337E-05
2.1250E+13	5.96480E-05
2.1300E+13	5.95622E-05
2.1350E+13	5.94765E-05
2.1400E+13	5.93908E-05
2.1450E+13	5.93051E-05
2.1500E+13	5.92194E-05
2.1550E+13	5.91337E-05
2.1600E+13	5.91950E-05
2.1650E+13	5.92729E-05
2.1700E+13	5.93508E-05
2.1750E+13	5.94287E-05
2.1800E+13	5.95066E-05
2.1850E+13	5.95845E-05
2.1900E+13	5.96624E-05
2.1950E+13	5.97403E-05
2.2000E+13	5.98182E-05
2.2050E+13	6.00784E-05
2.2100E+13	6.06683E-05
2.2150E+13	6.12581E-05
2.2200E+13	6.18480E-05
2.2250E+13	6.24379E-05
2.2300E+13	6.30278E-05
2.2350E+13	6.36176E-05
2.2400E+13	6.42075E-05
2.2450E+13	6.47974E-05
2.2500E+13	6.53873E-05
2.2550E+13	6.59772E-05
2.2600E+13	6.65670E-05
2.2650E+13	6.71569E-05
2.2700E+13	6.83288E-05
2.2750E+13	7.06106E-05
2.2800E+13	7.28924E-05
2.2850E+13	7.51742E-05
2.2900E+13	7.74560E-05
2.2950E+13	7.97378E-05
2.3000E+13	8.20196E-05
2.3050E+13	8.54972E-05
2.3100E+13	9.07242E-05
2.3150E+13	9.59512E-05
2.3200E+13	1.01178E-04
2.3250E+13	1.06832E-04
2.3300E+13	1.12686E-04
2.3350E+13	1.17946E-04
2.3400E+13	1.21944E-04
2.3450E+13	1.25941E-04
2.3500E+13	1.29939E-04
2.3550E+13	1.31757E-04
2.3600E+13	1.33232E-04
2.3650E+13	1.34706E-04
2.3700E+13	1.36181E-04
2.3750E+13	1.37656E-04
2.3800E+13	1.38658E-04
2.3850E+13	1.39417E-04
2.3900E+13	1.40175E-04
2.3950E+13	1.40934E-04
2.4000E+13	1.41693E-04
2.4050E+13	1.42451E-04
2.4100E+13	1.42113E-04
2.4150E+13	1.41007E-04
2.4200E+13	1.39901E-04
2.4250E+13	1.38795E-04
2.4300E+13	1.37689E-04
2.4350E+13	1.36583E-04
2.4400E+13	1.35477E-04
2.4450E+13	1.34195E-04
2.4500E+13	1.32819E-04
2.4550E+13	1.31442E-04
2.4600E+13	1.30066E-04
2.4650E+13	1.28689E-04
2.4700E+13	1.27313E-04
2.4750E+13	1.25936E-04
2.4800E+13	1.24560E-04
2.4850E+13	1.22554E-04
2.4900E+13	1.20431E-04
2.4950E+13	1.18308E-04
2.5000E+13	1.16185E-04
2.5050E+13	1.13942E-04
2.5100E+13	1.11582E-04
2.5150E+13	1.09223E-04
2.5200E+13	1.07395E-04
2.5250E+13	1.05625E-04
2.5300E+13	1.03855E-04
2.5350E+13	1.02086E-04
2.5400E+13	1.00316E-04
2.5450E+13	9.85465E-05
2.5500E+13	9.60425E-05
2.5550E+13	9.33882E-05
2.5600E+13	9.07339E-05
2.5650E+13	8.75484E-05
2.5700E+13	8.34187E-05
2.5750E+13	7.92889E-05
2.5800E+13	7.66128E-05
2.5850E+13	7.44009E-05
2.5900E+13	7.21889E-05
2.5950E+13	6.99344E-05
2.6000E+13	6.75745E-05
2.6050E+13	6.52146E-05
2.6100E+13	6.24501E-05
2.6150E+13	5.95003E-05
2.6200E+13	5.66495E-05
