// Co-polarized Raman gain spectrum for SLA fiber		
# df	RamanGain	
# [THz]	[1/m/W]	
# PumpFrequency	[THz]	206.753419
24.45	9.5500560E-05
24.5	9.4698160E-05
24.55	9.3785600E-05
24.6	9.2735680E-05
24.65	9.1639520E-05
24.7	9.0683440E-05
24.75	8.9825280E-05
24.8	8.8961680E-05
24.85	8.7952560E-05
24.9	8.6719040E-05
24.95	8.5285600E-05
25	8.3625040E-05
25.05	8.1570080E-05
25.1	7.9153360E-05
25.15	7.6471440E-05
25.2	7.3638560E-05
25.25	7.0699600E-05
25.3	6.7653200E-05
25.35	6.4458560E-05
25.4	6.1145600E-05
25.45	5.7797280E-05
25.5	5.5422720E-05
25.55	5.2972000E-05
25.6	5.0510400E-05
25.65	4.8044720E-05
25.7	4.5615760E-05
25.75	4.3223520E-05
25.8	4.0885680E-05
25.85	3.8619920E-05
25.9	3.6461600E-05
25.95	3.4447440E-05
26	3.2581520E-05
26.05	3.0831200E-05
26.1	2.9189680E-05
26.15	2.7663760E-05
26.2	2.6260240E-05
26.25	2.4987280E-05
26.3	2.3848960E-05
26.35	2.2864320E-05
26.4	2.2046960E-05
26.45	2.1403680E-05
26.5	2.0858320E-05
26.55	2.0402720E-05
26.6	2.0024640E-05
26.65	1.9703680E-05
26.7	1.9411280E-05
26.75	1.9125680E-05
26.8	1.8814240E-05
26.85	1.8544960E-05
26.9	1.8339600E-05
26.95	1.8190000E-05
27	1.8064880E-05
27.05	1.7954720E-05
27.1	1.7854080E-05
27.15	1.7777920E-05
27.2	1.7738480E-05
27.25	1.7733040E-05
27.3	1.7715360E-05
27.35	1.7667760E-05
27.4	1.7560320E-05
27.45	1.7409360E-05
27.5	1.7254320E-05
27.55	1.7097920E-05
27.6	1.6966000E-05
27.65	1.6843600E-05
27.7	1.6723920E-05
27.75	1.6605600E-05
27.8	1.6504960E-05
27.85	1.6424720E-05
27.9	1.6364880E-05
27.95	1.6286000E-05
28	1.6185360E-05
28.05	1.6068400E-05
28.1	1.5950080E-05
28.15	1.5826320E-05
28.2	1.5698480E-05
28.25	1.5565200E-05
28.3	1.5449600E-05
28.35	1.5362560E-05
28.4	1.5323120E-05
28.45	1.5308160E-05
28.5	1.5289120E-05
28.55	1.5259200E-05
28.6	1.5233360E-05
28.65	1.5217040E-05
28.7	1.5210240E-05
28.75	1.5219760E-05
28.8	1.5253760E-05
28.85	1.5309520E-05
28.9	1.5372080E-05
28.95	1.5437360E-05
29	1.5504000E-05
29.05	1.5574720E-05
29.1	1.5657680E-05
29.15	1.5755600E-05
29.2	1.5868480E-05
29.25	1.5969120E-05
29.3	1.6062960E-05
29.35	1.6173120E-05
29.4	1.6305040E-05
29.45	1.6466880E-05
29.5	1.6660000E-05
29.55	1.6883040E-05
29.6	1.7138720E-05
29.65	1.7424320E-05
29.7	1.7741200E-05
29.75	1.8081200E-05
29.8	1.8414400E-05
29.85	1.8740800E-05
29.9	1.9056320E-05
29.95	1.9377280E-05
30	1.9747200E-05
30.05	2.0166080E-05
30.1	2.0640720E-05
30.15	2.1156160E-05
30.2	2.1689280E-05
30.25	2.2233280E-05
30.3	2.2793600E-05
30.35	2.3367520E-05
30.4	2.3948240E-05
30.45	2.4533040E-05
30.5	2.5123280E-05
30.55	2.5714880E-05
30.6	2.6303760E-05
30.65	2.6888560E-05
30.7	2.7462480E-05
30.75	2.8024160E-05
30.8	2.8581760E-05
30.85	2.9158400E-05
30.9	2.9747280E-05
30.95	3.0323920E-05
31	3.0878800E-05
31.05	3.1406480E-05
31.1	3.1901520E-05
31.15	3.2358480E-05
31.2	3.2771920E-05
31.25	3.3140480E-05
31.3	3.3460080E-05
31.35	3.3723920E-05
31.4	3.3932000E-05
31.45	3.4091120E-05
31.5	3.4206720E-05
31.55	3.4278800E-05
31.6	3.4306000E-05
31.65	3.4277440E-05
31.7	3.4180880E-05
31.75	3.4013600E-05
31.8	3.3796000E-05
31.85	3.3532160E-05
31.9	3.3227520E-05
31.95	3.2886160E-05
32	3.2502640E-05
32.05	3.2078320E-05
32.1	3.1617280E-05
32.15	3.1120880E-05
32.2	3.0587760E-05
32.25	3.0007040E-05
32.3	2.9388240E-05
32.35	2.8753120E-05
32.4	2.8108480E-05
32.45	2.7466560E-05
32.5	2.6831440E-05
32.55	2.6200400E-05
32.6	2.5589760E-05
32.65	2.4995440E-05
32.7	2.4417440E-05
32.75	2.3855760E-05
32.8	2.3314480E-05
32.85	2.2792240E-05
32.9	2.2280880E-05
32.95	2.1777680E-05
33	2.1288080E-05
33.05	2.0822960E-05
33.1	2.0400000E-05
33.15	2.0039600E-05
33.2	1.9736320E-05
33.25	1.9469760E-05
33.3	1.9235840E-05
33.35	1.9035920E-05
33.4	1.8850960E-05
33.45	1.8701360E-05
33.5	1.8589840E-05
33.55	1.8512320E-05
33.6	1.8459280E-05
33.65	1.8426640E-05
33.7	1.8422560E-05
33.75	1.8452480E-05
33.8	1.8505520E-05
33.85	1.8583040E-05
33.9	1.8676880E-05
33.95	1.8785680E-05
34	1.8909440E-05
34.05	1.9046800E-05
34.1	1.9197760E-05
34.15	1.9362320E-05
34.2	1.9533680E-05
34.25	1.9711840E-05
34.3	1.9892720E-05
34.35	2.0073600E-05
34.4	2.0255840E-05
34.45	2.0436720E-05
34.5	2.0613520E-05
34.55	2.0783520E-05
34.6	2.0939920E-05
34.65	2.1089520E-05
34.7	2.1226880E-05
34.75	2.1352000E-05
34.8	2.1470320E-05
34.85	2.1580480E-05
34.9	2.1685200E-05
34.95	2.1777680E-05
35	2.1847040E-05
35.05	2.1896000E-05
35.1	2.1923200E-05
35.15	2.1923200E-05
35.2	2.1905520E-05
35.25	2.1871520E-05
35.3	2.1821200E-05
35.35	2.1753200E-05
35.4	2.1664800E-05
35.45	2.1568240E-05
35.5	2.1478480E-05
35.55	2.1418640E-05
35.6	2.1386000E-05
35.65	2.1354720E-05
35.7	2.1293520E-05
35.75	2.1196960E-05
35.8	2.1086800E-05
35.85	2.0965760E-05
35.9	2.0813440E-05
35.95	2.0636640E-05
36	2.0420400E-05
36.05	2.0160640E-05
36.1	1.9891360E-05
36.15	1.9618000E-05
36.2	1.9336480E-05
36.25	1.9035920E-05
36.3	1.8713600E-05
36.35	1.8383120E-05
36.4	1.8047200E-05
36.45	1.7700400E-05
36.5	1.7344080E-05
36.55	1.6978240E-05
36.6	1.6623280E-05
36.65	1.6275120E-05
36.7	1.5931040E-05
36.75	1.5588320E-05
36.8	1.5214320E-05
36.85	1.4806320E-05
36.9	1.4372480E-05
36.95	1.3919600E-05
37	1.3506160E-05
37.05	1.3156640E-05
37.1	1.2861520E-05
37.15	1.2544640E-05
37.2	1.2182880E-05
37.25	1.1778960E-05
37.3	1.1341040E-05
37.35	1.0890880E-05
37.4	1.0442080E-05
37.45	9.9946400E-06
37.5	9.5444800E-06
37.55	9.1106400E-06
37.6	8.6985600E-06
37.65	8.3150400E-06
37.7	7.9587200E-06
37.75	7.6228000E-06
37.8	7.3100000E-06
37.85	7.0339200E-06
37.9	6.7959200E-06
37.95	6.5946400E-06
38	6.4287200E-06
38.05	6.2913600E-06
38.1	6.1567200E-06
38.15	6.0152800E-06
38.2	5.8684000E-06
38.25	5.7242400E-06
38.3	5.5800800E-06
38.35	5.4304800E-06
38.4	5.2754400E-06
38.45	5.1421600E-06
38.5	5.0333600E-06
38.55	4.9476800E-06
38.6	4.8905600E-06
38.65	4.8293600E-06
38.7	4.7586400E-06
38.75	4.6756800E-06
38.8	4.5927200E-06
38.85	4.5084000E-06
38.9	4.4200000E-06
38.95	4.3302400E-06
39	4.2445600E-06
39.05	4.1656800E-06
39.1	4.0949600E-06
39.15	4.0120000E-06
39.2	3.9127200E-06
39.25	3.7916800E-06
39.3	3.6475200E-06
39.35	3.5156000E-06
39.4	3.4081600E-06
39.45	3.3306400E-06
39.5	3.2898400E-06
39.55	3.2286400E-06
39.6	3.1035200E-06
39.65	2.9049600E-06
39.7	2.6996000E-06
39.75	2.5051200E-06
39.8	2.3256000E-06
39.85	2.1637600E-06
39.9	2.0073600E-06
39.95	1.8482400E-06
40	1.6836800E-06
40.05	1.5245600E-06
40.1	1.3708800E-06
40.15	1.2260980E-06
40.2	1.0921800E-06
40.25	9.7333400E-07
40.3	8.7256400E-07
40.35	7.9189600E-07
40.4	7.1819800E-07
40.45	6.5107200E-07
40.5	5.9006000E-07
40.55	5.3463800E-07
40.6	4.8422000E-07
40.65	4.3815600E-07
40.7	3.9573800E-07
40.75	3.5619200E-07
40.8	3.1868000E-07
40.85	2.8230400E-07
40.9	2.4610600E-07
40.95	2.1057000E-07
41	1.7598200E-07
41.05	1.4168740E-07
41.1	1.0945260E-07
41.15	8.0464000E-08
41.2	5.4679200E-08
41.25	3.2039600E-08
41.3	1.2469160E-08
41.35	0.0
50	0.0
